experiment,task,precision,recall,f1,accuracy,auroc
exp2_squaredhinge_do0.2,plasmid,0.755,0.725705329153605,0.666666666666667,0.90467862820804,0.950098887598888
exp2_squaredhinge_do0.2,chromosome,0.96097468113459,1.0,0.956888544891641,0.926713459950454,0.961230471402765
exp0_added_attention,plasmid,0.756565656565657,0.908033826638478,0.733003300330033,0.941176470588235,0.990606766421984
exp0_added_attention,chromosome,0.963978992894656,1.0,0.967204301075269,0.943303571428571,0.989251835985312
original_plasgraph,plasmid,0.833333333333333,0.769230769230769,0.717142857142857,0.941391155002147,0.987921577780371
original_plasgraph,chromosome,0.968975468975469,1.0,0.963889894965592,0.940786910790807,0.98287728605333
exp4_squaredhinge_do0.3,plasmid,0.755,0.725705329153605,0.666666666666667,0.90467862820804,0.950098887598888
exp4_squaredhinge_do0.3,chromosome,0.96097468113459,1.0,0.956888544891641,0.926713459950454,0.961230471402765
exp1_crossentropy_do0.2,plasmid,0.756565656565657,0.908033826638478,0.733003300330033,0.941176470588235,0.990606766421984
exp1_crossentropy_do0.2,chromosome,0.963978992894656,1.0,0.967204301075269,0.943303571428571,0.989251835985312
exp3_crossentropy_do0.3,plasmid,0.756565656565657,0.908033826638478,0.733003300330033,0.941176470588235,0.990606766421984
exp3_crossentropy_do0.3,chromosome,0.963978992894656,1.0,0.967204301075269,0.943303571428571,0.989251835985312
