sample,task,n_contigs,precision,recall,f1,accuracy,auroc
robertson-benchmark_abau-SAMN10163228-s,plasmid,110,0.9285714285714286,0.48148148148148145,0.6341463414634146,0.8636363636363636,0.9116465863453815
robertson-benchmark_abau-SAMN10163228-s,chromosome,110,0.8532110091743119,1.0,0.9207920792079208,0.8545454545454545,0.9550917141049968
robertson-benchmark_abau-SAMN10163228-u,plasmid,110,1.0,0.36363636363636365,0.5333333333333333,0.8090909090909091,0.9130263675718221
robertson-benchmark_abau-SAMN10163228-u,chromosome,110,0.8333333333333334,1.0,0.9090909090909091,0.8363636363636363,0.9583333333333334
robertson-benchmark_abau-SAMN10163233-s,plasmid,333,0.1875,0.96,0.3137254901960784,0.36936936936936937,0.4648763250883392
robertson-benchmark_abau-SAMN10163233-s,chromosome,333,0.946236559139785,0.30662020905923343,0.4631578947368421,0.38738738738738737,0.47970004544765943
robertson-benchmark_abau-SAMN10163233-u,plasmid,352,0.22580645161290322,0.8484848484848485,0.35668789808917195,0.42613636363636365,0.4573002754820936
robertson-benchmark_abau-SAMN10163233-u,chromosome,352,0.9137931034482759,0.3581081081081081,0.5145631067961165,0.4318181818181818,0.4797297297297297
robertson-benchmark_abau-SAMN16357205-s,plasmid,99,0.07142857142857142,1.0,0.13333333333333333,0.8686868686868687,1.0
robertson-benchmark_abau-SAMN16357205-s,chromosome,99,1.0,0.9285714285714286,0.9629629629629629,0.9292929292929293,1.0
robertson-benchmark_abau-SAMN16357205-u,plasmid,105,0.05263157894736842,1.0,0.1,0.8285714285714286,1.0
robertson-benchmark_abau-SAMN16357205-u,chromosome,105,1.0,0.9230769230769231,0.96,0.9238095238095239,1.0
robertson-benchmark_abau-SAMN16357501-s,plasmid,74,0.14285714285714285,1.0,0.25,0.918918918918919,1.0
robertson-benchmark_abau-SAMN16357501-s,chromosome,74,1.0,0.9863013698630136,0.993103448275862,0.9864864864864865,1.0
robertson-benchmark_abau-SAMN16357501-u,plasmid,75,1.0,1.0,1.0,1.0,1.0
robertson-benchmark_abau-SAMN16357501-u,chromosome,75,1.0,1.0,1.0,1.0,1.0
robertson-benchmark_abau-SAMN16357502-s,plasmid,94,0.45,1.0,0.6206896551724138,0.8829787234042553,0.9359477124183007
robertson-benchmark_abau-SAMN16357502-s,chromosome,94,0.9880952380952381,0.9325842696629213,0.9595375722543352,0.925531914893617,0.9820224719101124
robertson-benchmark_abau-SAMN16357502-u,plasmid,108,0.9333333333333333,1.0,0.9655172413793104,0.9907407407407407,1.0
robertson-benchmark_abau-SAMN16357502-u,chromosome,108,0.970873786407767,1.0,0.9852216748768473,0.9722222222222222,1.0
robertson-benchmark_easb-SAMN16357574-s,plasmid,81,1.0,1.0,1.0,1.0,1.0
robertson-benchmark_easb-SAMN16357574-s,chromosome,81,0.8947368421052632,1.0,0.9444444444444444,0.9259259259259259,1.0
