sample,task,n_contigs,precision,recall,f1,accuracy,auroc
robertson-benchmark_abau-SAMN10163228-s,plasmid,110,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.7454545454545455,0.8094600624721107
robertson-benchmark_abau-SAMN10163228-s,chromosome,110,0.8532110091743119,1.0,0.9207920792079208,0.8545454545454545,0.8462998102466792
robertson-benchmark_abau-SAMN10163228-u,plasmid,110,1.0,0.21212121212121213,0.35,0.7636363636363637,0.8543880362062181
robertson-benchmark_abau-SAMN10163228-u,chromosome,110,0.8240740740740741,0.9888888888888889,0.898989898989899,0.8181818181818182,0.7733333333333334
robertson-benchmark_abau-SAMN10163233-s,plasmid,333,0.17959183673469387,0.88,0.2983050847457627,0.3783783783783784,0.48537102473498234
robertson-benchmark_abau-SAMN10163233-s,chromosome,333,0.9469026548672567,0.37282229965156793,0.535,0.44144144144144143,0.509695500681715
robertson-benchmark_abau-SAMN10163233-u,plasmid,352,0.22448979591836735,0.8333333333333334,0.3536977491961415,0.4289772727272727,0.7163064208518753
robertson-benchmark_abau-SAMN10163233-u,chromosome,352,0.9615384615384616,0.4222972972972973,0.5868544600938967,0.5,0.7455960424710425
robertson-benchmark_abau-SAMN16357205-s,plasmid,99,0.09090909090909091,1.0,0.16666666666666666,0.898989898989899,1.0
robertson-benchmark_abau-SAMN16357205-s,chromosome,99,1.0,0.9081632653061225,0.9518716577540107,0.9090909090909091,1.0
robertson-benchmark_abau-SAMN16357205-u,plasmid,105,0.05555555555555555,1.0,0.10526315789473684,0.8380952380952381,1.0
robertson-benchmark_abau-SAMN16357205-u,chromosome,105,1.0,0.8653846153846154,0.9278350515463918,0.8666666666666667,1.0
robertson-benchmark_abau-SAMN16357501-s,plasmid,74,0.5,1.0,0.6666666666666666,0.9864864864864865,1.0
robertson-benchmark_abau-SAMN16357501-s,chromosome,74,1.0,0.9863013698630136,0.993103448275862,0.9864864864864865,1.0
robertson-benchmark_abau-SAMN16357501-u,plasmid,75,1.0,1.0,1.0,1.0,1.0
robertson-benchmark_abau-SAMN16357501-u,chromosome,75,1.0,1.0,1.0,1.0,1.0
robertson-benchmark_abau-SAMN16357502-s,plasmid,94,0.8181818181818182,1.0,0.9,0.9787234042553191,0.9895424836601306
robertson-benchmark_abau-SAMN16357502-s,chromosome,94,1.0,0.9550561797752809,0.9770114942528736,0.9574468085106383,0.9932584269662922
robertson-benchmark_abau-SAMN16357502-u,plasmid,108,0.8181818181818182,0.6428571428571429,0.72,0.9351851851851852,0.9734042553191489
robertson-benchmark_abau-SAMN16357502-u,chromosome,108,0.9611650485436893,0.99,0.9753694581280788,0.9537037037037037,0.9862500000000001
robertson-benchmark_easb-SAMN16357574-s,plasmid,81,1.0,0.9032258064516129,0.9491525423728814,0.9629629629629629,0.9987096774193548
robertson-benchmark_easb-SAMN16357574-s,chromosome,81,0.9444444444444444,1.0,0.9714285714285714,0.9629629629629629,0.9993464052287582
