mol_type,method,heads,learning_rate,tie,normalization,contigs,real,predicted,auc,precision,recall,f1,accuracy
plasmid,1_h_lr_0.0001_tie_False_norm_None,1,0.0001,False,None,38272,5365.0,5165.0,0.907061259571808,0.645161290322581,0.645657568238213,0.536585365853659,0.857738095238095
plasmid,1_h_lr_0.0001_tie_True_norm_None,1,0.0001,True,None,38272,5365.0,10447.0,0.838494003639846,0.254237288135593,0.878671328671329,0.434782608695652,0.707712960702953
plasmid,1_h_lr_0.0003_tie_False_norm_None,1,0.0003,False,None,38272,5365.0,5534.0,0.958970127083677,0.761287061994609,0.826290322580645,0.711981566820277,0.895435612634502
plasmid,1_h_lr_0.0003_tie_True_norm_None,1,0.0003,True,None,38272,5365.0,5339.0,0.918657550739594,0.769230769230769,0.75,0.652482269503546,0.880215449290594
plasmid,1_h_lr_0.005_tie_False_norm_None,1,0.005,False,None,38272,5365.0,5643.0,0.975992037834143,0.888888888888889,0.862745098039216,0.777269260106789,0.910598201936376
plasmid,1_h_lr_0.005_tie_True_norm_None,1,0.005,True,None,38272,5365.0,5672.0,0.977502845896423,0.875,0.892680921052632,0.8,0.934798744896926
plasmid,2_h_lr_0.0001_tie_False_norm_None,2,0.0001,False,None,38272,5365.0,7321.0,0.887963229627496,0.333333333333333,0.75,0.470588235294118,0.820404624277457
plasmid,2_h_lr_0.0001_tie_True_norm_None,2,0.0001,True,None,38272,5365.0,9106.0,0.845201123927832,0.260869565217391,0.836021505376344,0.438487394957983,0.747727272727273
plasmid,2_h_lr_0.0003_tie_False_norm_None,2,0.0003,False,None,38272,5365.0,5694.0,0.96388668874808,0.828571428571429,0.833333333333333,0.751249432076329,0.893683510638298
plasmid,2_h_lr_0.0003_tie_True_norm_None,2,0.0003,True,None,38272,5365.0,4866.0,0.905331409097232,0.67741935483871,0.638125,0.625,0.862669245647969
plasmid,2_h_lr_0.005_tie_False_norm_None,2,0.005,False,None,38272,5365.0,4795.0,0.795032248157248,0.428571428571429,0.31304347826087,0.375,0.814976958525346
plasmid,2_h_lr_0.005_tie_True_norm_None,2,0.005,True,None,38272,5365.0,7500.0,0.971155981838141,0.755749405233941,0.911335578002245,0.75,0.896346443830108
plasmid,3_h_lr_0.0001_tie_False_norm_None,3,0.0001,False,None,38272,5365.0,6877.0,0.858486488033894,0.304347826086957,0.672619047619048,0.424242424242424,0.797676153928153
plasmid,3_h_lr_0.0001_tie_True_norm_None,3,0.0001,True,None,38272,5365.0,8307.0,0.840535904187978,0.242647058823529,0.75,0.405063291139241,0.742396313364055
plasmid,3_h_lr_0.0003_tie_False_norm_None,3,0.0003,False,None,38272,5365.0,5627.0,0.97436788874842,0.835144927536232,0.870897435897436,0.765673981191223,0.896863370547581
plasmid,3_h_lr_0.0003_tie_True_norm_None,3,0.0003,True,None,38272,5365.0,4809.0,0.972080680376659,0.902777777777778,0.798809523809524,0.727272727272727,0.906673114119923
plasmid,3_h_lr_0.005_tie_False_norm_None,3,0.005,False,None,38272,5365.0,4413.0,0.912113559088854,0.867006802721088,0.600598290598291,0.612040133779264,0.88810641627543
