mol_type,method,heads,learning_rate,tie,normalization,contigs,real,predicted,auc,precision,recall,f1,accuracy
plasmid,3_h_lr_0.0001_tie_True_norm_batch,3,0.0001,True,batch,38272,5365,25959,0.604518371400199,0.132075471698113,0.965714285714286,0.254901960784314,0.347777422449632
plasmid,1_h_lr_0.005_tie_False_norm_layer,1,0.005,False,layer,38272,5365,8036,0.776029969649724,0.260869565217391,0.303846153846154,0.259541984732824,0.788255360623782
plasmid,3_h_lr_0.0001_tie_True_norm_None,3,0.0001,True,None,38272,5365,25320,0.5520421817255,0.125,0.96,0.266666666666667,0.340395480225989
plasmid,2_h_lr_0.003_tie_False_norm_layer,2,0.003,False,layer,38272,5365,17301,0.599287333981212,0.17562358276644,0.670289855072464,0.271956856702619,0.663467444717445
plasmid,1_h_lr_0.0001_tie_True_norm_layer,1,0.0001,True,layer,38272,5365,15229,0.760835913312693,0.157894736842105,0.67741935483871,0.273618538324421,0.664583333333333
plasmid,3_h_lr_0.0001_tie_False_norm_None,3,0.0001,False,None,38272,5365,13044,0.48680901284444,0.180687830687831,0.0850987000481463,0.279245283018868,0.765999765999766
plasmid,2_h_lr_0.005_tie_True_norm_None,2,0.005,True,None,38272,5365,10745,0.788154161412358,0.238026124818578,0.333333333333333,0.285714285714286,0.779102470041575
plasmid,1_h_lr_0.0003_tie_True_norm_layer,1,0.0003,True,layer,38272,5365,12955,0.789368655263524,0.2,0.688344594594595,0.288690476190476,0.682458386683739
plasmid,3_h_lr_0.005_tie_True_norm_layer,3,0.005,True,layer,38272,5365,16502,0.843177842298568,0.25,0.660606060606061,0.289198606271777,0.710101867572156
plasmid,3_h_lr_0.0003_tie_False_norm_layer,3,0.0003,False,layer,38272,5365,17053,0.777783547985044,0.17770122142186,0.65625,0.297520661157025,0.635642135642136
plasmid,2_h_lr_0.001_tie_False_norm_layer,2,0.001,False,layer,38272,5365,13774,0.755926707003758,0.191489361702128,0.767948717948718,0.297826086956522,0.664583333333333
plasmid,1_h_lr_0.001_tie_False_norm_layer,1,0.001,False,layer,38272,5365,17179,0.788838473354602,0.174757281553398,0.770979020979021,0.303284671532847,0.644957983193277
plasmid,2_h_lr_0.001_tie_True_norm_layer,2,0.001,True,layer,38272,5365,17824,0.770650171902935,0.2054890921886,0.739864864864865,0.311475409836066,0.684571016582552
plasmid,1_h_lr_0.003_tie_False_norm_batch,1,0.003,False,batch,38272,5365,9619,0.85835020242915,0.245689655172414,0.406353011687144,0.32,0.789798570500325
plasmid,2_h_lr_0.0003_tie_True_norm_layer,2,0.0003,True,layer,38272,5365,17703,0.785511363636364,0.2,0.795161290322581,0.32,0.612819343065693
plasmid,2_h_lr_0.0001_tie_True_norm_batch,2,0.0001,True,batch,38272,5365,24559,0.687285550895921,0.169047619047619,1,0.324952859836581,0.388555194805195
plasmid,1_h_lr_0.005_tie_True_norm_batch,1,0.005,True,batch,38272,5365,17279,0.763830532212885,0.260416666666667,0.80842193037315,0.32520325203252,0.696153846153846
plasmid,2_h_lr_0.0001_tie_True_norm_None,2,0.0001,True,None,38272,5365,24983,0.606927974777551,0.173154446963971,1,0.331223628691983,0.3696738172201
plasmid,1_h_lr_0.005_tie_True_norm_None,1,0.005,True,None,38272,5365,14132,0.856948654793483,0.270484949832776,0.650158898305085,0.332020997375328,0.762099308610937
plasmid,2_h_lr_0.0001_tie_False_norm_layer,2,0.0001,False,layer,38272,5365,14939,0.77150385846038,0.217391304347826,0.851648351648352,0.332577100319036,0.639957264957265
plasmid,1_h_lr_0.0001_tie_False_norm_layer,1,0.0001,False,layer,38272,5365,17009,0.835489081996435,0.2,0.823725055432373,0.334331337325349,0.636363636363636
plasmid,2_h_lr_0.003_tie_True_norm_batch,2,0.003,True,batch,38272,5365,13484,0.859062345533677,0.268716577540107,0.659420289855073,0.339080459770115,0.77680265654649
