sample,contig,length,plasmid_score,chrom_score,label
.,Contig_100_233.011,831,0.111796655,0.94401634,chromosome
.,Contig_101_237.308,831,0.111899175,0.9456526,chromosome
.,Contig_102_135.976,33838,0.024423705,0.9853269,chromosome
.,Contig_103_130.473,144778,0.004957094,0.9972229,chromosome
.,Contig_104_290.264,819,0.41724947,0.8382261,chromosome
.,Contig_105_92.8015,4179,0.029887168,0.99022627,chromosome
.,Contig_106_87.3831,7723,0.8672905,0.18218537,plasmid
.,Contig_10_167.36,4903,0.04454254,0.9750546,chromosome
.,Contig_11_164.671,767,0.9499513,0.18550767,plasmid
.,Contig_12_131.345,162549,0.0038912166,0.997823,chromosome
.,Contig_13_92.8931,2322,0.87973154,0.19211146,plasmid
.,Contig_14_142.422,191097,0.0014205795,0.99919474,chromosome
.,Contig_15_139.757,185627,0.00079431845,0.99964607,chromosome
.,Contig_16_1126.61,601,0.04989949,0.99898803,chromosome
.,Contig_17_1152.57,523,0.016046751,0.999758,chromosome
.,Contig_18_426.902,5393,0.98864317,0.022604063,plasmid
.,Contig_19_143.25,23961,0.027402258,0.98224926,chromosome
.,Contig_1_4358.13_Circ,6790,0.99996746,0.0014467759,plasmid
.,Contig_20_138.129,190766,0.00365077,0.9979955,chromosome
.,Contig_21_83.0735,13336,0.90273666,0.13192584,plasmid
.,Contig_22_81.8942,116047,0.91029173,0.11486271,plasmid
.,Contig_23_143.208,164962,0.001954772,0.9990611,chromosome
.,Contig_24_442.759,5360,0.9919861,0.030613221,plasmid
.,Contig_25_147.906,74804,0.01021472,0.9937408,chromosome
.,Contig_26_312.788,430,0.04447312,0.99498296,chromosome
.,Contig_27_157.779,586,0.87891626,0.23193887,plasmid
.,Contig_28_123.237,17976,0.3344291,0.78677845,chromosome
.,Contig_29_154.642,3433,0.52365834,0.6979814,ambiguous
.,Contig_2_3211.58_Circ,3370,0.99971986,0.012780978,plasmid
.,Contig_30_136.399,13451,0.05966935,0.96180654,chromosome
.,Contig_31_266.139,1327,0.6058225,0.57987446,ambiguous
.,Contig_32_265.35,1327,0.6043569,0.5806933,ambiguous
.,Contig_33_136.071,64212,0.005201509,0.997381,chromosome
.,Contig_34_149.812,802,0.5587465,0.659353,ambiguous
.,Contig_35_146.844,66416,0.009544336,0.9944647,chromosome
.,Contig_36_151.654,14462,0.016708642,0.9895749,chromosome
.,Contig_37_318.725,433,0.057897605,0.99267066,chromosome
.,Contig_38_90.5892,22479,0.029184677,0.98636866,chromosome
.,Contig_39_306.529,686,0.10186117,0.97803944,chromosome
.,Contig_3_4228.32_Circ,2001,0.9994871,0.02401281,plasmid
.,Contig_40_125.541,29561,0.04202201,0.97502565,chromosome
.,Contig_41_135.811,120513,0.0049891016,0.99714965,chromosome
.,Contig_42_150.941,29660,0.00735933,0.9955214,chromosome
.,Contig_43_413.596,1336,0.05526137,0.99540865,chromosome
.,Contig_44_138.157,353644,0.0007103535,0.99961925,chromosome
.,Contig_45_134.112,514378,0.00021970956,0.9998926,chromosome
.,Contig_46_142.603,47124,0.017443275,0.98918,chromosome
.,Contig_47_949.29,1194,0.06583958,0.9988173,chromosome
.,Contig_48_287.744,643,0.39061075,0.8550718,chromosome
.,Contig_49_146.403,13961,0.0069182958,0.99636805,chromosome
.,Contig_4_119.953,1341,0.054147825,0.981457,chromosome
.,Contig_50_337.564,43372,0.34848487,0.7961434,chromosome
.,Contig_51_77.0775,18085,0.9885607,0.016076293,plasmid
.,Contig_52_276.249,4527,0.10922332,0.9420302,chromosome
.,Contig_53_276.981,4527,0.10948278,0.94196796,chromosome
.,Contig_54_136.599,121174,0.0049026315,0.9970322,chromosome
.,Contig_55_143.182,356477,0.00095090823,0.9995284,chromosome
.,Contig_56_143.86,54667,0.005633206,0.9965408,chromosome
.,Contig_57_145.277,104124,0.0036404897,0.9978038,chromosome
.,Contig_58_142.568,139694,0.0043014,0.99756396,chromosome
.,Contig_59_209.886,2145,0.025164062,0.989924,chromosome
.,Contig_5_133.917,129764,0.0061393743,0.99654096,chromosome
.,Contig_60_201.61,2136,0.023292694,0.99034107,chromosome
.,Contig_61_144.264,280709,0.00170913,0.9990903,chromosome
.,Contig_62_155.907,1501,0.06525705,0.95828277,chromosome
.,Contig_63_274.759,3154,0.13678882,0.9587987,chromosome
.,Contig_64_284.03,1493,0.79874945,0.596745,ambiguous
.,Contig_65_199.882,6129,0.18911193,0.8820569,chromosome
.,Contig_66_194.544,6111,0.18954718,0.8821696,chromosome
.,Contig_67_145.673,176259,0.0021939054,0.998695,chromosome
.,Contig_68_146.526,88764,0.0030968832,0.9983761,chromosome
.,Contig_69_255.715,487,0.05689841,0.99314505,chromosome
.,Contig_6_368.062,42469,0.9795071,0.03396302,plasmid
.,Contig_70_319.092,463,0.19650848,0.9562145,chromosome
.,Contig_71_141.3,159149,0.0030707913,0.99828386,chromosome
.,Contig_72_466.016,598,0.045927007,0.99763566,chromosome
.,Contig_73_1097.52,488,2.6870118e-06,0.99999994,chromosome
.,Contig_74_138.102,145461,0.0028576485,0.99829084,chromosome
.,Contig_75_192.044,926,0.6774524,0.6841262,ambiguous
.,Contig_76_993.837,1239,0.00380714,0.9996877,chromosome
.,Contig_77_153.597,21983,0.010364398,0.99357796,chromosome
.,Contig_78_141.704,26118,0.016630488,0.99069244,chromosome
.,Contig_79_530.257,821,0.9851279,0.15735503,plasmid
.,Contig_7_134.429,2770,0.98875,0.016338205,plasmid
.,Contig_80_84.1138,12147,0.79845655,0.28643918,plasmid
.,Contig_81_132.004,32031,0.03421739,0.978315,chromosome
.,Contig_82_145.053,15988,0.023693923,0.9861479,chromosome
.,Contig_83_141.982,86588,0.010841749,0.9935542,chromosome
.,Contig_84_144.75,99300,0.011049733,0.9943922,chromosome
.,Contig_85_276.154,1840,0.15808265,0.9357636,chromosome
.,Contig_86_465.114,959,0.94916034,0.26279077,plasmid
.,Contig_87_266.438,640,0.088210136,0.9884376,chromosome
.,Contig_88_299.644,719,0.2057963,0.9073217,chromosome
