sample,contig,length,plasmid_score,chrom_score,label
.,Contig_100_233.011,831,0.49082437,0.8906948,chromosome
.,Contig_101_237.308,831,0.49083003,0.8922743,chromosome
.,Contig_102_135.976,33838,0.49080706,0.9161856,chromosome
.,Contig_103_130.473,144778,0.49080682,0.9662609,chromosome
.,Contig_104_290.264,819,0.8099451,0.49256203,plasmid
.,Contig_105_92.8015,4179,0.59915006,0.5238777,ambiguous
.,Contig_106_87.3831,7723,0.49080682,0.7926745,chromosome
.,Contig_10_167.36,4903,0.49080694,0.9555593,chromosome
.,Contig_11_164.671,767,0.49080682,0.96606046,chromosome
.,Contig_12_131.345,162549,0.49080682,0.9723908,chromosome
.,Contig_13_92.8931,2322,0.9020035,0.4901659,plasmid
.,Contig_14_142.422,191097,0.49080682,0.97711635,chromosome
.,Contig_15_139.757,185627,0.49080682,0.99084437,chromosome
.,Contig_16_1126.61,601,0.49080682,0.9994674,chromosome
.,Contig_17_1152.57,523,0.49080682,0.9996984,chromosome
.,Contig_18_426.902,5393,0.9991224,0.4901541,plasmid
.,Contig_19_143.25,23961,0.49080706,0.8943639,chromosome
.,Contig_1_4358.13_Circ,6790,0.9999847,0.4901541,plasmid
.,Contig_20_138.129,190766,0.49080682,0.9728606,chromosome
.,Contig_21_83.0735,13336,0.49080682,0.76155937,chromosome
.,Contig_22_81.8942,116047,0.49080682,0.9741058,chromosome
.,Contig_23_143.208,164962,0.49080682,0.99141145,chromosome
.,Contig_24_442.759,5360,0.9928113,0.49015445,plasmid
.,Contig_25_147.906,74804,0.49080682,0.98593676,chromosome
.,Contig_26_312.788,430,0.4908073,0.96656346,chromosome
.,Contig_27_157.779,586,0.49080682,0.96853006,chromosome
.,Contig_28_123.237,17976,0.49080682,0.97417176,chromosome
.,Contig_29_154.642,3433,0.490807,0.9480437,chromosome
.,Contig_2_3211.58_Circ,3370,0.9999839,0.4901541,plasmid
.,Contig_30_136.399,13451,0.49080682,0.9731891,chromosome
.,Contig_31_266.139,1327,0.7301525,0.4903772,plasmid
.,Contig_32_265.35,1327,0.7268348,0.49038145,plasmid
.,Contig_33_136.071,64212,0.49080682,0.9885444,chromosome
.,Contig_34_149.812,802,0.49241784,0.6961549,chromosome
.,Contig_35_146.844,66416,0.49080682,0.9793948,chromosome
.,Contig_36_151.654,14462,0.49080682,0.9796233,chromosome
.,Contig_37_318.725,433,0.490809,0.94099003,chromosome
.,Contig_38_90.5892,22479,0.49080688,0.95878005,chromosome
.,Contig_39_306.529,686,0.49082214,0.9509829,chromosome
.,Contig_3_4228.32_Circ,2001,0.9999131,0.4901541,plasmid
.,Contig_40_125.541,29561,0.49080682,0.959966,chromosome
.,Contig_41_135.811,120513,0.49080682,0.93505913,chromosome
.,Contig_42_150.941,29660,0.49080682,0.98427445,chromosome
.,Contig_43_413.596,1336,0.4908073,0.9797034,chromosome
.,Contig_44_138.157,353644,0.49080682,0.98302877,chromosome
.,Contig_45_134.112,514378,0.49080682,0.9845856,chromosome
.,Contig_46_142.603,47124,0.49080688,0.9545099,chromosome
.,Contig_47_949.29,1194,0.49080682,0.99795,chromosome
.,Contig_48_287.744,643,0.8568207,0.4904955,plasmid
.,Contig_49_146.403,13961,0.49080682,0.9934036,chromosome
.,Contig_4_119.953,1341,0.4908078,0.9424542,chromosome
.,Contig_50_337.564,43372,0.49107197,0.77100253,chromosome
.,Contig_51_77.0775,18085,0.49080682,0.8412057,chromosome
.,Contig_52_276.249,4527,0.49086386,0.907776,chromosome
.,Contig_53_276.981,4527,0.49086487,0.9076532,chromosome
.,Contig_54_136.599,121174,0.49080682,0.9859345,chromosome
.,Contig_55_143.182,356477,0.49080682,0.99455553,chromosome
.,Contig_56_143.86,54667,0.49080682,0.98389626,chromosome
.,Contig_57_145.277,104124,0.49080682,0.98675084,chromosome
.,Contig_58_142.568,139694,0.49080682,0.97283053,chromosome
.,Contig_59_209.886,2145,0.49080887,0.929905,chromosome
.,Contig_5_133.917,129764,0.49080688,0.9729089,chromosome
.,Contig_60_201.61,2136,0.49080822,0.9292898,chromosome
.,Contig_61_144.264,280709,0.49080682,0.98949975,chromosome
.,Contig_62_155.907,1501,0.49080718,0.9157796,chromosome
.,Contig_63_274.759,3154,0.49084532,0.91737074,chromosome
.,Contig_64_284.03,1493,0.49091002,0.8975766,chromosome
.,Contig_65_199.882,6129,0.49082267,0.89879817,chromosome
.,Contig_66_194.544,6111,0.4908225,0.89632785,chromosome
.,Contig_67_145.673,176259,0.49080682,0.98880166,chromosome
.,Contig_68_146.526,88764,0.49080682,0.99609333,chromosome
.,Contig_69_255.715,487,0.49080724,0.9551886,chromosome
.,Contig_6_368.062,42469,0.9994937,0.4901541,plasmid
.,Contig_70_319.092,463,0.49141192,0.72999877,chromosome
.,Contig_71_141.3,159149,0.49080682,0.95435107,chromosome
.,Contig_72_466.016,598,0.86226404,0.85480314,ambiguous
.,Contig_73_1097.52,488,0.49136937,0.99834955,chromosome
.,Contig_74_138.102,145461,0.49080682,0.9883112,chromosome
.,Contig_75_192.044,926,0.4908265,0.95204556,chromosome
.,Contig_76_993.837,1239,0.92209303,0.6753635,ambiguous
.,Contig_77_153.597,21983,0.49080682,0.9810162,chromosome
.,Contig_78_141.704,26118,0.49080682,0.99011666,chromosome
.,Contig_79_530.257,821,0.9938041,0.4902112,plasmid
.,Contig_7_134.429,2770,0.49080682,0.93432564,chromosome
.,Contig_80_84.1138,12147,0.49080682,0.9353094,chromosome
.,Contig_81_132.004,32031,0.49080682,0.97537744,chromosome
.,Contig_82_145.053,15988,0.49080682,0.9849623,chromosome
.,Contig_83_141.982,86588,0.49080682,0.9573355,chromosome
.,Contig_84_144.75,99300,0.49080682,0.9728818,chromosome
.,Contig_85_276.154,1840,0.49096954,0.8547057,chromosome
.,Contig_86_465.114,959,0.76277936,0.58221436,ambiguous
.,Contig_87_266.438,640,0.49080682,0.98466706,chromosome
.,Contig_88_299.644,719,0.49086714,0.9151192,chromosome
.,Contig_89_300.009,719,0.4908679,0.91413385,chromosome
.,Contig_8_147.654,31894,0.49080682,0.9905945,chromosome
.,Contig_90_100.313,8604,0.49080682,0.90238833,chromosome
.,Contig_91_104.313,1027,0.49080682,0.95082235,chromosome
.,Contig_92_147.625,99289,0.49080682,0.97893727,chromosome
.,Contig_93_286.652,1255,0.49080682,0.9821186,chromosome
.,Contig_94_1326.31,33883,0.9999597,0.4901541,plasmid
.,Contig_95_146.622,208945,0.49080682,0.9788399,chromosome
.,Contig_96_126.116,8568,0.6095382,0.5768396,ambiguous
.,Contig_97_128.274,24387,0.49080724,0.9489393,chromosome
.,Contig_98_145.577,20856,0.49080682,0.98749006,chromosome
.,Contig_99_163.141,37990,0.49080682,0.98597753,chromosome
.,Contig_9_135.136,17199,0.49080682,0.99274594,chromosome
.,Contig_105_92.8015:5p:1:23,408,0.49080694,0.9850284,chromosome
.,Contig_105_92.8015:5p:1:25,187,0.4908084,0.97481894,chromosome
.,Contig_105_92.8015:5p:1:34,411,0.49080688,0.9954376,chromosome
.,Contig_105_92.8015:5p:1:35,188,0.49081507,0.9695767,chromosome
.,Contig_105_92.8015:5p:1:36,406,0.49080688,0.9902606,chromosome
.,Contig_13_92.8931:3p:1:4,280,0.49080804,0.949093,chromosome
.,Contig_13_92.8931:3p:1:5,280,0.49080816,0.94836986,chromosome
.,Contig_13_92.8931:3p:1:8,149,0.49080682,0.97195745,chromosome
.,Contig_13_92.8931:3p:1:10,517,0.49080682,0.9781996,chromosome
.,Contig_16_1126.61:5p:1:9,153,0.49080682,0.9970367,chromosome
.,Contig_22_81.8942:3p:1:5,332,0.490807,0.9827612,chromosome
